date,ticker,price
2024-01-01,AAPL,150.72199238286703
2024-01-02,AAPL,149.10114584758074
2024-01-03,AAPL,148.95637819892815
2024-01-04,AAPL,149.01530218511496
2024-01-05,AAPL,148.56748390491327
2024-01-06,AAPL,148.01397589951253
2024-01-07,AAPL,146.97258257588388
2024-01-08,AAPL,144.52207740102398
2024-01-09,AAPL,144.67469507364487
2024-01-10,AAPL,143.42764311214523
2024-01-11,AAPL,142.51577622519494
2024-01-12,AAPL,140.98914748860975
2024-01-13,AAPL,141.9740037672131
2024-01-14,AAPL,142.24927124346516
2024-01-15,AAPL,143.2023889309462
2024-01-16,AAPL,143.80226062253243
2024-01-17,AAPL,144.72133228422175
2024-01-18,AAPL,144.32413782979177
2024-01-19,AAPL,142.71767421772688
2024-01-20,AAPL,143.01129248515034
